title;char;price
Смартфон Xiaomi Redmi Note 10 Pro 8/, бронза;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 108Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;24799
Смартфон Xiaomi Redmi Note 10S, 6/128GB, синий;Диагональ экрана: 6.43Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G95 (8 ядер), 2.05 ГГц;20999
Смартфон realme 8 6/128GB, серебристый;Диагональ экрана: 6.4Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G95 (8 ядер), 2.05 ГГц;18380
Смартфон Poco X3 NFC Global Version 6/128GB, серый;Диагональ экрана: 6.67Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;20270
Смартфон Honor 10X Lite 4/128GB, зеленый;Диагональ экрана: 6.67Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 710A (8 ядер), 2.0 ГГц;16990
Смартфон Vivo V21E 8/128GB, голубой, розовый;Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Беспроводные интерфейсы: Bluetooth, Wi-Fi, NFCСтандарты связи: LTE, 3G;25990
Смартфон Huawei P Smart 2021 4/128GB, зеленый;Диагональ экрана: 6.67Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 710A (8 ядер), 2.0 ГГц;15990
Смартфон Xiaomi Redmi Note 10S 6/128GB, белый;Диагональ экрана: 6.43Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G95 (8 ядер), 2.05 ГГц;20871
Смартфон realme 8 6/128GB, синий;Диагональ экрана: 6.4Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 108Процессор: Snapdragon 720G (8 ядер), 2.3 ГГц;21890
Смартфон Apple iPhone 11 128GB, зеленый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон Xiaomi Redmi 9C 3/64GB, серый;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;10490
Смартфон Poco M3 4/128GB, желтый J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14490
Смартфон Motorola Moto E7 Plus 4/64GB, оранжевый;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 460 (8 ядер), 1.8 ГГц;10990
Смартфон realme 8 6/128GB, серебристый;Диагональ экрана: 6.4Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G95 (8 ядер), 2.05 ГГц;19980
Смартфон Apple iPhone SE 64GB, черный;Диагональ экрана: 4.7Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;37951
Смартфон Samsung Galaxy A02s 3/32GB, синий;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 5Процессор: Snapdragon 450 (8 ядер), 1.8 ГГц;9747
Смартфон Xiaomi Mi 11 Lite 8/128GB, розовый;Диагональ экрана: 6.55Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;30050
